created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id
1643856108,iPhone,1643856698.0,walking,False,False,0d57d87295df46949058a2e3ca4ec499,False,,Walking Workout,ffc6bba881e74adeaeb8133cf499c2d6,iOS_app,1643856138,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,588.0,0.0,,,1643856108,1643838108,,,,Andy Speer,2022-02-03 02:41,Thursday,early morning,February-22,
1643660662,iPhone,1643661386.0,strength,False,False,1dd858446c824524ac16766d9d2f1f06,False,,Strength Workout,135a01d16fbe439495b623edd3f3e313,iOS_app,1643660752,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,688.0,0.0,,,1643660662,1643642662,,,,Andy Speer,2022-01-31 20:24,Monday,evening,January-22,
1643639968,iPhone,1643641258.0,strength,False,False,9c9dd25f678f4298b74e5b841f1f940a,False,,Strength Workout,ef0d1de5c5694334a23a843d02c3b718,iOS_app,1643639998,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,1258.0,1.0,,,1643639968,1643621968,,,,Andy Speer,2022-01-31 14:39,Monday,early afternoon,January-22,
1643638957,iPhone,1643639526.0,strength,False,False,dc4d06811c3c48e69f2dc7269d84d55e,False,,Strength Workout,4ee185a479e949dab321209321c868de,iOS_app,1643639076,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,596.0,0.0,,,1643638957,1643620957,,,,Rebecca Kennedy,2022-01-31 14:22,Monday,early afternoon,January-22,
1643638893,iPhone,1643639450.0,strength,False,False,9753d06b3e7c4f4abdb37daf0029a656,False,,Strength Workout,4ee185a479e949dab321209321c868de,iOS_app,1643638893,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,,,,,1643638893,1643620893,,,,Rebecca Kennedy,2022-01-31 14:21,Monday,early afternoon,January-22,
1643638826,iPhone,1643639450.0,strength,False,False,bbdaa9403eac487f970ee08789eca784,False,,Strength Workout,4ee185a479e949dab321209321c868de,iOS_app,1643638826,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,,,,,1643638826,1643620826,,,,Rebecca Kennedy,2022-01-31 14:20,Monday,early afternoon,January-22,
1643637452,iPhone,1643638819.0,strength,False,False,395682e6d6c24d7ea68d56f23e216664,False,,Strength Workout,1328de761acf43359e00cbd0668c5142,iOS_app,1643637541,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,1365.0,0.0,,,1643637452,1643619452,,,,Andy Speer,2022-01-31 13:57,Monday,early afternoon,January-22,
1643466471,iPhone,1643466557.0,strength,False,False,7526cca22ba94ba5a8d6d0c4864e3f2c,False,,Strength Workout,8ba5ab6006d54921b144e3a4ca294ffd,iOS_app,1643466500,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,83.0,0.0,,,1643466471,1643448471,,,,Callie Gullickson,2022-01-29 14:27,Saturday,early afternoon,January-22,
1643382051,iPhone,1643382711.0,strength,False,False,f07fb20812004d628c8993fb0b900186,False,,Strength Workout,d7d5a6eecaab429dbee3f1fd9eef84df,iOS_app,1643382081,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,659.0,0.0,,,1643382051,1643364051,,,,Rebecca Kennedy,2022-01-28 15:00,Friday,early afternoon,January-22,
1643044471,iPhone,1643044861.0,strength,False,False,883b970886c1493a9fc0082b7c059333,False,,Strength Workout,875e228706d64f66ab28aab9bb516814,iOS_app,1643044560,COMPLETE,America/New_York,,0.0,1983bc74b89c403db8876500b1895573,class,0,0,359.0,0.0,,,1643044471,1643026471,,,,Andy Speer,2022-01-24 17:14,Monday,evening,January-22,
