created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year
1607296094.0,iPad,1607297383.0,yoga,False,False,81a84eabfa4241409854c7791e80d740,False,,Yoga Workout,a8d608ffefd242509d29e361a9e8471b,iOS_app,1607296183.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,1317.0,1.0,,,,,1607296094.0,1607278094.0,,,,Anna Greenberg,2020-12-06 23:08,Sunday,late night,December-20
1604274305.0,iPad,1604276404.0,yoga,False,False,c77dd31832da45d3ac8ee72086827073,False,,Yoga Workout,63ceb7817ce9442fa04855b24077645d,iOS_app,1604274399.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,1909.0,6.0,,,,,1604274305.0,1604256305.0,,,,Anna Greenberg,2020-11-01 23:45,Sunday,late night,November-20
1595104319.0,iPad,1595107108.0,yoga,False,False,84abbcfda5b748cbb383fc4e0094678b,False,,Yoga Workout,9d9d8a7d2b5848c7acd0361b391e4ab3,iOS_app,1595104408.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,2826.0,1.0,,,,,1595104319.0,1595089919.0,,,,Anna Greenberg,2020-07-18 20:31,Saturday,evening,July-20
1594943743.0,iPhone,1594946503.0,yoga,False,False,78f401fd3a3d4e598870e454f063f9b5,False,,Yoga Workout,2570d6598dec42dea5945c5ad7ae8acd,iOS_app,1594943803.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,0.0,0.0,,,,,1594943743.0,1594929343.0,,,,Anna Greenberg,2020-07-16 23:55,Thursday,late night,July-20
1594909968.0,iPhone,1594910102.0,yoga,False,False,730ccf3d5ab147d6951951c683fe3c8d,False,,Yoga Workout,2ac1041ec0704f51aeeefcd72c248ef4,iOS_app,1594909998.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,119.0,0.0,,,,,1594909968.0,1594895568.0,,,,Anna Greenberg,2020-07-16 14:32,Thursday,early afternoon,July-20
1594906842.0,iPhone,1594906902.0,yoga,False,False,b7f5ac04bd884b34bd4619dc7e288d3d,False,,Yoga Workout,8d6e735b89e1450d818bc77d5b95d249,iOS_app,1594906876.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,115.0,3.0,,,,,1594906842.0,1594892442.0,,,,Anna Greenberg,2020-07-16 13:40,Thursday,early afternoon,July-20
1594906664.0,iPhone,1594906837.0,yoga,False,False,654cc88cf99d496eba87c2475e8bda70,False,,Yoga Workout,161ce94101464dd4baf8a4431953ce6d,iOS_app,1594906694.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,141.0,5.0,,,,,1594906664.0,1594892264.0,,,,Anna Greenberg,2020-07-16 13:37,Thursday,early afternoon,July-20
1594748462.0,iPhone,1594750322.0,yoga,False,False,c9c892413bbe45028e1bd3197aeabf9e,False,,Yoga Workout,8eae9878d5544e8aa4fbf64ef50a25a5,iOS_app,1594748522.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,0.0,0.0,,,,,1594748462.0,1594734062.0,,,,Anna Greenberg,2020-07-14 17:41,Tuesday,evening,July-20
1594735164.0,iPhone,1594735312.0,meditation,False,False,0b2eadf7da9d4ce78f15abe2216d4f05,False,,Meditation Workout,c06c02cb6a2c41c8a3bb325912ac2e22,iOS_app,1594735254.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,118.0,1.0,,,,,1594735164.0,1594720764.0,,,,Anna Greenberg,2020-07-14 13:59,Tuesday,early afternoon,July-20
1594734683.0,iPhone,1594735095.0,yoga,False,False,6d91214c9d294878bc143cb8071bdd5b,False,,Yoga Workout,f00b0142d3044935805d516407054a98,iOS_app,1594734773.0,COMPLETE,America/New_York,,0.0,026d817a66704ea6b5bc148ba0b803f7,class,386.0,1.0,,,,,1594734683.0,1594720283.0,,,,Aditi Shah,2020-07-14 13:51,Tuesday,early afternoon,July-20
