created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year
1643811248,iPhone,1643811888.0,strength,False,False,cf8a7a23fe4a4db495aa96b1fc237892,False,,Strength Workout,362d45189692434b97715e4428a56cac,iOS_app,1643811278,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,613.0,0.0,,,1643811248,1643793248,,,,,Emma Lovewell,2022-02-02 14:14,Wednesday,early afternoon,February-22
1643809779,home_tread,1643811039.0,running,False,True,eeaa74873b414a599fca03c7cb1c5095,False,running,Running Workout,7940f76276a943c7a74bfd3aeccb9ab9,home_tread,1643809843,COMPLETE,Etc/GMT+5,,444678.25,81be40879cf34e4581e1840d217146e3,class,0,0,1403.0,2.0,,,1643809779,1643791779,,,,,Marcel Dinkins,2022-02-02 13:49,Wednesday,early afternoon,February-22
1643734181,iPhone,1643734733.0,cardio,False,False,aebc7b7e1e4648bda9b5ca9f926c7dd5,False,,Cardio Workout,85f52f0750474d998b8dccf967e6096e,iOS_app,1643734210,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,473.0,2.0,,,1643734181,1643716181,,,,,Kendall Toole,2022-02-01 16:49,Tuesday,early afternoon,February-22
1643724290,iPhone,1643724916.0,strength,False,False,afa3b7861d4746e580985a7cbddea2ed,False,,Strength Workout,93792c6711464940a569ee50688f781e,iOS_app,1643724319,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,623.0,0.0,,,1643724290,1643706290,,,,,Emma Lovewell,2022-02-01 14:04,Tuesday,early afternoon,February-22
1643722895,home_tread,1643724155.0,running,False,True,d93d02fc756146a7bb5df9d57498e9b0,False,running,Running Workout,82c8156720e34995988f9fedf8bbd14d,home_tread,1643722958,COMPLETE,Etc/GMT+5,,457307.21,81be40879cf34e4581e1840d217146e3,class,0,0,1359.0,0.0,,,1643722895,1643704895,,,,,Susie Chan,2022-02-01 13:41,Tuesday,early afternoon,February-22
1643642376,home_tread,1643644352.0,running,False,False,288bb8c3895642489ad5c4cb5945fe25,False,running,Running Workout,,home_tread,1643642378,COMPLETE,America/New_York,32 min 54 sec Just Run,635148.9,81be40879cf34e4581e1840d217146e3,freestyle,0,0,,,,,1643642376,1643624376,,,,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride.png'}, 'title': '32 min 54 sec Just Run', 'scheduled_start_time': 1643642376, 'duration': 1974}",freestyle,2022-01-31 15:19,Monday,early afternoon,January-22
1643462963,home_tread,1643466660.0,running,False,True,b453e0880eff4595a43467cfd78fe541,False,running,Running Workout,972bcb7278fb4b3f8c416ff3e7390956,home_tread,1643463061,COMPLETE,Etc/GMT+5,,1405238.48,81be40879cf34e4581e1840d217146e3,class,0,0,3811.0,1.0,,,1643462963,1643444963,,,,,Becs Gentry,2022-01-29 13:29,Saturday,early afternoon,January-22
1643123230,iPhone,1643123859.0,strength,False,False,78507c91504f4027ad45ae9ef59ee7cf,False,,Strength Workout,a3119262da3449d3ba83ba98bcaf6af9,iOS_app,1643123259,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,656.0,1.0,,,1643123230,1643105230,,,,,Emma Lovewell,2022-01-25 15:07,Tuesday,early afternoon,January-22
1643120943,home_tread,1643123179.0,running,False,False,94e3b0fc78cc4983b4a34865093bbeb6,False,running,Running Workout,,home_tread,1643120945,COMPLETE,America/New_York,37 min 14 sec Just Run,773287.99,81be40879cf34e4581e1840d217146e3,freestyle,0,0,,,,,1643120943,1643102943,,,,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride.png'}, 'title': '37 min 14 sec Just Run', 'scheduled_start_time': 1643120943, 'duration': 2234}",freestyle,2022-01-25 14:29,Tuesday,early afternoon,January-22
1642516855,roku,1642517536.0,strength,False,False,053394a302204512a963a09b1ccab727,False,,Strength Workout,71d9db4eca544cb8b9f3da9a9605606d,roku,1642516926,COMPLETE,US/Eastern,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,684.0,1.0,,,1642516855,1642498855,,,,,Rad Lopez,2022-01-18 14:40,Tuesday,early afternoon,January-22
1642438865,home_tread,1642440079.0,running,False,True,d0eb85e9d4af40728f72e66f3c880429,False,running,Running Workout,d7e3ed8b25604c6e92f32011dc3ea955,home_tread,1642438879,COMPLETE,Etc/GMT+5,,473069.46,81be40879cf34e4581e1840d217146e3,class,0,0,1308.0,1.0,,,1642438865,1642420865,,,,,Kirsten Ferguson,2022-01-17 17:01,Monday,evening,January-22
1641992937,home_tread,1641994759.0,circuit,False,True,2a6b1ea2e4f5412a94de7a0462085633,False,running,Tread Bootcamp Workout,1add0898a880446c98eb39e3b258ae87,home_tread,1641992960,COMPLETE,Etc/GMT+5,,352965.25,81be40879cf34e4581e1840d217146e3,class,0,0,1892.0,1.0,,,1641992937,1641974937,,,,,Adrian Williams,2022-01-12 13:08,Wednesday,early afternoon,January-22
1641216619,home_tread,1641218479.0,running,False,True,fc3f76c38e284028b0ddc640546ac58d,False,running,Running Workout,855feb3a77f94172bee226b89dd658ac,home_tread,1641216681,COMPLETE,Etc/GMT+5,,678689.69,81be40879cf34e4581e1840d217146e3,class,0,0,1877.0,1.0,,,1641216619,1641198619,,,,,Jess Sims,2022-01-03 13:30,Monday,early afternoon,January-22
1640005275,home_tread,1640006535.0,running,False,True,0d8fd56e5000446eb4f621619a5ef65d,False,running,Running Workout,c51f6b8efd9e414baec4bfb33fa949df,home_tread,1640005337,COMPLETE,Etc/GMT+5,,391373.8,81be40879cf34e4581e1840d217146e3,class,0,0,1268.0,6.0,,,1640005275,1639987275,,,,,Andy Speer,2021-12-20 13:01,Monday,early afternoon,December-21
1639660320,home_tread,1639662179.0,running,False,True,6c4a8c1ecae842c8bce9e33fb7073480,False,running,Running Workout,3c2b5e0a02f84f248fc8f7719b88fb7b,home_tread,1639660381,COMPLETE,Etc/GMT+5,,632384.08,81be40879cf34e4581e1840d217146e3,class,0,0,1919.0,0.0,,,1639660320,1639642320,,,,,Olivia Amato,2021-12-16 13:12,Thursday,early afternoon,December-21
1638970797,home_tread,1638972009.0,running,False,True,67b0c2e28b3747719a7ca7f1af5290ac,False,running,Running Workout,86bf46ad4ab942c9a0cd53169fb1ce38,home_tread,1638970811,COMPLETE,Etc/GMT+5,,342285.85,81be40879cf34e4581e1840d217146e3,class,0,0,1215.0,1.0,,,1638970797,1638952797,,,,,Susie Chan,2021-12-08 13:39,Wednesday,early afternoon,December-21
1638633979,home_tread,1638635827.0,walking,False,True,7ca7d6b132a745a8985c0bc478cedd0b,True,running,Walking Workout,52eb4be197f44c2aae0bd10214a2d6ba,home_tread,1638634029,COMPLETE,Etc/GMT+5,,437387.57,81be40879cf34e4581e1840d217146e3,class,0,0,2011.0,5.0,,,1638633979,1638615979,,,,,Jon Hosking,2021-12-04 16:06,Saturday,early afternoon,December-21
1638024943,home_bike_v1,1638026203.0,cycling,True,True,03a9aadfb5b24ea9a647dbd657a8c35d,False,cycling,Cycling Workout,98b2f8c1e8814defa7e5061e3f3821db,home_bike,1638025004,COMPLETE,Etc/GMT+5,,89823.37,81be40879cf34e4581e1840d217146e3,class,0,0,1447.0,1.0,,,1638024943,1638006943,,,,,Leanne Hainsby,2021-11-27 14:55,Saturday,early afternoon,November-21
1637592483,home_tread,1637594342.0,circuit,False,True,42d1fa46cc3141e389117844211f50d0,False,running,Tread Bootcamp Workout,fc605519460249b5a05ec2e7b3a883b9,home_tread,1637592544,COMPLETE,Etc/GMT+5,,353949.48,81be40879cf34e4581e1840d217146e3,class,0,0,1985.0,1.0,,,1637592483,1637574483,,,,,Matty Maggiacomo,2021-11-22 14:48,Monday,early afternoon,November-21
1637071677,home_tread,1637072916.0,running,False,True,9f1efa0685854a3b8fa67cfd0dd06134,False,running,Running Workout,e7b4cc8d7e9242979bb349037b9dce81,home_tread,1637071718,COMPLETE,Etc/GMT+5,,408276.99,81be40879cf34e4581e1840d217146e3,class,0,0,1422.0,0.0,,,1637071677,1637053677,,,,,Joslyn Thompson Rule,2021-11-16 14:07,Tuesday,early afternoon,November-21
1636987224,home_tread,1636988453.0,running,False,True,ebc36710fa6141a5ae8ea934fefbe066,False,running,Running Workout,69b054f54fb040359a9cb6889f43ee7e,home_tread,1636987255,COMPLETE,Etc/GMT+5,,429302.55,81be40879cf34e4581e1840d217146e3,class,0,0,1242.0,1.0,,,1636987224,1636969224,,,,,Jermaine Johnson,2021-11-15 14:40,Monday,early afternoon,November-21
1635333975,home_tread,1635336049.0,running,False,True,2bb5d1e0ea5146248c778445c0259314,False,running,Running Workout,47278561bf3e4f77bc89884ddd8fcab3,home_tread,1635334251,COMPLETE,Etc/GMT+4,,752071.28,81be40879cf34e4581e1840d217146e3,class,0,0,2203.0,1.0,,,1635333975,1635319575,,,,,Olivia Amato,2021-10-27 11:26,Wednesday,morning,October-21
1633961107,home_tread,1633963021.0,running,False,False,7ede0bcfb2dd4fac99a9c338cc1d737a,False,running,Running Workout,,home_tread,1633961108,COMPLETE,America/New_York,31 min 53 sec Just Run,615959.84,81be40879cf34e4581e1840d217146e3,freestyle,0,0,,,,,1633961107,1633946707,,,,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride.png'}, 'title': '31 min 53 sec Just Run', 'scheduled_start_time': 1633961107, 'duration': 1913}",freestyle,2021-10-11 14:05,Monday,early afternoon,October-21
1632932391,iPhone,1632932463.0,running,False,False,996b7314293849f2977a3dbf18a8a8e0,False,,Running Workout,fdc5c1443fc34bee9a411d03ead2d174,iOS_app,1632932420,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,68.0,0.0,,,1632932391,1632917991,,,,,Tobias Heinze,2021-09-29 16:19,Wednesday,early afternoon,September-21
1631815166,iPhone,1631816456.0,running,False,False,ee0e9548a5094c0691ddeb6b6f656215,False,,Running Workout,6962e1b6779142798b111eb3499081e4,iOS_app,1631815255,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,1401.0,0.0,,,1631815166,1631800766,,,,,Susie Chan,2021-09-16 17:59,Thursday,evening,September-21
1631728825,iPhone,1631730084.0,running,False,False,95531fe1dee1472b9f7a25f5319c4a43,False,,Running Workout,4eb6c82023634bdda317057fb84b01cc,iOS_app,1631728884,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,1338.0,0.0,,,1631728825,1631714425,,,,,Jermaine Johnson,2021-09-15 18:00,Wednesday,evening,September-21
1631543300,home_tread,1631544550.0,running,False,False,9970b289024f476ba29d64ac867c1cb8,False,running,Running Workout,,home_tread,1631543302,COMPLETE,America/New_York,20 min 48 sec Just Run,127748.77,81be40879cf34e4581e1840d217146e3,freestyle,0,0,,,,,1631543300,1631528900,,,,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride.png'}, 'title': '20 min 48 sec Just Run', 'scheduled_start_time': 1631543300, 'duration': 1248}",freestyle,2021-09-13 14:28,Monday,early afternoon,September-21
1631102621,home_tread,1631104651.0,running,False,False,c0e02b9ac71c49348759fdddc91b4311,False,running,Running Workout,,home_tread,1631102623,COMPLETE,America/New_York,33 min 48 sec Just Run,740891.59,81be40879cf34e4581e1840d217146e3,freestyle,0,0,,,,,1631102621,1631088221,,,,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride.png'}, 'title': '33 min 48 sec Just Run', 'scheduled_start_time': 1631102621, 'duration': 2028}",freestyle,2021-09-08 12:03,Wednesday,early afternoon,September-21
1630539005,iPhone,1630540295.0,running,False,False,2c80b6c7bd584d9abf7826a1c44442ff,False,,Running Workout,7332c96081e34989b06ef8636095e16b,iOS_app,1630539065,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,1397.0,0.0,,,1630539005,1630524605,,,,,Marcel Dinkins,2021-09-01 23:30,Wednesday,late night,September-21
1630453248,iPhone,1630453886.0,running,False,False,70c2a598498c40ef8c4c95075d57cb05,False,,Running Workout,27a7aeb65680483c8319d97f394593eb,iOS_app,1630453278,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,0,0,723.0,0.0,,,1630453248,1630438848,,,,,Daniel McKenna,2021-08-31 23:40,Tuesday,late night,August-21
1630366024,home_tread,1630367450.0,running,False,True,78dcc92987c34e5db0be73b987bd6f1a,False,running,Running Workout,a82e13e5a4c94ab3b15f0403a52de994,home_tread,1630366252,COMPLETE,Etc/GMT+4,,470754.59,81be40879cf34e4581e1840d217146e3,class,0,0,1575.0,1.0,,,1630366024,1630351624,,,,,Kirsten Ferguson,2021-08-30 23:27,Monday,late night,August-21
1629759069,home_tread,1629760329.0,running,False,True,5bf64bbf34d74053bf761ae1ea7c4d98,False,running,Running Workout,fe7d3465afef4322a16045a83901cb6e,home_tread,1629759131,COMPLETE,Etc/GMT+4,,476834.57,81be40879cf34e4581e1840d217146e3,class,1231,0,1283.0,1.0,,,1629759069,1629744669,,,,,Selena Samuela,2021-08-23 22:51,Monday,late night,August-21
1628686662,iPhone,1628688028.0,strength,False,False,55e5d81ef77e432e88b4e4c6a8ab929d,False,,Strength Workout,98a2d308ad504e4fa01ebda1c9f850e9,iOS_app,1628686757,COMPLETE,America/New_York,,0.0,81be40879cf34e4581e1840d217146e3,class,1360,1,1230.0,0.0,,,1628686662,1628672262,,,,,Rad Lopez,2021-08-11 12:57,Wednesday,early afternoon,August-21
