created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id
1643411015,iPhone,1643412858,cardio,False,False,84f2d327925042c5ac61e14026818749,False,,Cardio Workout,5ca8cff9b6b34a6288bb68e42909f1ff,iOS_app,1643411075,COMPLETE,America/New_York,,0.0,992dcb9c3fa04c9a8493556512e83254,class,0,0,917.0,0.0,,,1643411015,1643393015,,,,Rad Lopez,2022-01-28 23:03,Friday,late night,January-22,
1642685732,apple_tv,1642686722,yoga,False,False,7034c616ede14a29a19eed31a8486a21,False,,Yoga Workout,f04df69776da43f4b627711da8f3c381,apple_tv,1642685822,COMPLETE,America/New_York,,0.0,992dcb9c3fa04c9a8493556512e83254,class,0,0,1072.0,1.0,,,1642685732,1642667732,,,,Chelsea Jackson Roberts,2022-01-20 13:35,Thursday,early afternoon,January-22,
1642431537,iPhone,1642433486,cycling,False,False,858c390b0e484931b7597147f3dbca8c,False,,Cycling Workout,8de7d1682e3b4ca5980ef2ef541a9dfb,iOS_app,1642431656,COMPLETE,America/New_York,,0.0,992dcb9c3fa04c9a8493556512e83254,class,0,0,2023.0,20.0,,,1642431537,1642413537,,,,Tunde Oyeneyin,2022-01-17 14:58,Monday,early afternoon,January-22,
1641598207,home_bike_v1,1641600051,cycling,True,True,f2f594b6494d4279b722d0a46add2745,False,cycling,Cycling Workout,0b8a1b806cb742508ee15b228116ab12,home_bike,1641598252,COMPLETE,Etc/GMT+5,,205108.01,992dcb9c3fa04c9a8493556512e83254,class,0,0,1919.0,4.0,,,1641598207,1641580207,,,,Cody Rigsby,2022-01-07 23:30,Friday,late night,January-22,
1641425308,home_bike_v1,1641427251,cycling,True,True,4e60903bf75246f08174fff7a5d27bcf,False,cycling,Cycling Workout,64c89dd8535f41159bc8ff16092a49fd,home_bike,1641425453,COMPLETE,Etc/GMT+5,,196863.74,992dcb9c3fa04c9a8493556512e83254,class,0,0,2099.0,603.0,,,1641425308,1641407308,,,,Tunde Oyeneyin,2022-01-05 23:28,Wednesday,late night,January-22,
1641305236,home_tread,1641307096,walking,False,True,7b32c7bc3cf34930968db52e320df6e5,False,running,Walking Workout,dc7265f6fabf4a7caed862fd0ed74791,home_tread,1641305298,COMPLETE,Etc/GMT+5,,354852.4,992dcb9c3fa04c9a8493556512e83254,class,0,0,1906.0,0.0,,,1641305236,1641287236,,,,Marcel Dinkins,2022-01-04 14:07,Tuesday,early afternoon,January-22,
1640895844,home_bike_v1,1640897704,cycling,True,True,f182fbe6cf3c4a93aa4d2013d5721253,False,cycling,Cycling Workout,0364c1a6a6744aa59c1c7fba52e9cb43,home_bike,1640895907,COMPLETE,Etc/GMT+5,,183034.73,992dcb9c3fa04c9a8493556512e83254,class,0,0,1991.0,0.0,,,1640895844,1640877844,,,,Tunde Oyeneyin,2021-12-30 20:24,Thursday,evening,December-21,
1640733192,home_tread,1640734552,walking,False,True,bcfa2c9cfa0c47b1bc07d8d83c2669b9,False,running,Walking Workout,9597f4fd6e9940228684d8d59fd9435a,home_tread,1640733352,COMPLETE,Etc/GMT+5,,238705.3,992dcb9c3fa04c9a8493556512e83254,class,0,0,1484.0,1.0,,,1640733192,1640715192,,,,Jess Sims,2021-12-28 23:13,Tuesday,late night,December-21,
1640627639,home_bike_v1,1640629499,cycling,True,True,37b4edafb6a54c2f89c535e038efc4ae,False,cycling,Cycling Workout,07182776a60940f3b4502c641066c4e2,home_bike,1640627700,COMPLETE,Etc/GMT+5,,149727.41,992dcb9c3fa04c9a8493556512e83254,class,0,0,1985.0,0.0,,,1640627639,1640609639,,,,Tunde Oyeneyin,2021-12-27 17:53,Monday,evening,December-21,
1640102327,home_tread,1640103587,walking,False,True,00e85dc224af461796caef50aa77f82d,True,running,Walking Workout,e247c3db8fd74f9b918cfaa72154bae4,home_tread,1640102389,COMPLETE,Etc/GMT+5,,244580.39,992dcb9c3fa04c9a8493556512e83254,class,0,0,1429.0,0.0,,,1640102327,1640084327,,,,Joslyn Thompson Rule,2021-12-21 15:58,Tuesday,early afternoon,December-21,
1639924940,home_tread,1639927699,walking,False,True,5d3726f75e0048368a25655853c78d73,True,running,Walking Workout,a2cb127dec334c218369d5730bd10a04,home_tread,1639925002,COMPLETE,Etc/GMT+5,,514959.34,992dcb9c3fa04c9a8493556512e83254,class,0,0,2800.0,0.0,,,1639924940,1639906940,,,,Kirsten Ferguson,2021-12-19 14:42,Sunday,early afternoon,December-21,
1639415952,home_tread,1639417157,running,False,True,410f5528a88d43279e38acea649a15be,False,running,Scenic Run,df9bf501cbe6411ab93c293756f0c299,home_tread,1639415959,COMPLETE,Etc/GMT+5,,193486.24,992dcb9c3fa04c9a8493556512e83254,scenic,0,0,1212.0,0.0,1211.0,0.0,1639415952,1639397952,,,,Scenic Run,2021-12-13 17:19,Monday,evening,December-21,
1639415858,iPhone,1639417191,bike_bootcamp,False,False,3da42c27900844c7ad67ba87ec090f61,False,,Bike Bootcamp Workout,36f025b9c9b64555bb427d049d2e29a2,iOS_app,1639415918,COMPLETE,America/New_York,,0.0,992dcb9c3fa04c9a8493556512e83254,class,0,0,1276.0,0.0,,,1639415858,1639397858,,,,Jess Sims,2021-12-13 17:17,Monday,evening,December-21,
1639262507,home_tread,1639262837,running,False,True,b0c2d8b0dbc049b0878fe5514d56d7e5,True,running,Running Workout,ffe672ece9fb4b4183d3e497bc166669,home_tread,1639262539,COMPLETE,Etc/GMT+5,,40118.93,992dcb9c3fa04c9a8493556512e83254,class,0,0,339.0,1.0,,,1639262507,1639244507,,,,Matt Wilpers,2021-12-11 22:41,Saturday,late night,December-21,
1639261463,home_tread,1639262423,walking,False,True,e55969c6024344638110f25c4632c909,True,running,Walking Workout,3fa3327b7db543089abd6d1135574f58,home_tread,1639261525,COMPLETE,Etc/GMT+5,,160588.8,992dcb9c3fa04c9a8493556512e83254,class,0,0,985.0,1.0,,,1639261463,1639243463,,,,Marcel Dinkins,2021-12-11 22:24,Saturday,late night,December-21,
1639260774,home_tread,1639261433,walking,False,True,a3363e5756ec4dadbe4867ea76f1b87f,False,running,Walking Workout,8aee433612cd445dabf1c76ca8d5525d,home_tread,1639260836,COMPLETE,Etc/GMT+5,,76411.14,992dcb9c3fa04c9a8493556512e83254,class,0,0,656.0,0.0,,,1639260774,1639242774,,,,Kirsten Ferguson,2021-12-11 22:12,Saturday,late night,December-21,
1639146765,home_tread,1639148605,walking,False,True,bb43531c02e743fa84dbf5c507bab4d2,False,running,Walking Workout,31be19a5665949fcb3498fbad6470575,home_tread,1639146806,COMPLETE,Etc/GMT+5,,286665.3,992dcb9c3fa04c9a8493556512e83254,class,0,0,1864.0,2.0,,,1639146765,1639128765,,,,Jermaine Johnson,2021-12-10 14:32,Friday,early afternoon,December-21,
1638286003,home_tread,1638287263,walking,False,True,73bedd3e94b04a8b869802558109c734,False,running,Walking Workout,116873dc077b44ebb20f2af5cad09cf9,home_tread,1638286064,COMPLETE,Etc/GMT+5,,223209.17,992dcb9c3fa04c9a8493556512e83254,class,0,0,1311.0,0.0,,,1638286003,1638268003,,,,Jermaine Johnson,2021-11-30 15:26,Tuesday,early afternoon,November-21,
1638126119,home_tread,1638126751,walking,False,True,259d941aa6be4aa18ebe67847777436f,False,running,Walking Workout,16146a6aedf94503ad21d072a57ffc3b,home_tread,1638126154,COMPLETE,Etc/GMT+5,,74954.91,992dcb9c3fa04c9a8493556512e83254,class,0,0,637.0,1.0,,,1638126119,1638108119,,,,Jermaine Johnson,2021-11-28 19:01,Sunday,evening,November-21,
1637850346,iPhone,1637852446,cardio,False,False,3e8190329e074f1e94bf5d696ea79d86,False,,Cardio Workout,ae58b38b463e4bb69fc5325e09a336cd,iOS_app,1637850646,COMPLETE,America/New_York,,0.0,992dcb9c3fa04c9a8493556512e83254,class,0,0,2024.0,15.0,,,1637850346,1637832346,,,,Jess Sims,2021-11-25 14:25,Thursday,early afternoon,November-21,
