created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id
1641951638.0,apple_tv,1641952357.0,strength,False,False,eb0216ad4641415b83a56fbb290993bb,False,,Strength Workout,0f43af7a08384ff99e3a6b50b10ba0ce,apple_tv,1641951757.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,695.0,0.0,,,1641951638.0,1641933638.0,,,,,Emma Lovewell,2022-01-12 01:40,Wednesday,early morning,January-22,
1641148980.0,iPhone,1641150089.0,cycling,False,False,09609367d8a74ddbacac1eeeae92dc8c,False,,Cycling Workout,996f067d48c9439d9bd2ebd55fe26646,iOS_app,1641149009.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,1162.0,1.0,,,1641148980.0,1641130980.0,,,,,Christine D'Ercole,2022-01-02 18:43,Sunday,evening,January-22,
1640388873.0,iPhone,1640389486.0,cycling,False,False,cb5342f9653d4e2eac1578c7cbb2fe7f,False,,Cycling Workout,77ccc60fef734b93afddccdd64eb185a,iOS_app,1640388963.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,610.0,0.0,,,1640388873.0,1640370873.0,,,,,Christine D'Ercole,2021-12-24 23:34,Friday,late night,December-21,
1640388815.0,iPhone,1640392475.0,cycling,False,False,a0be174390f14f82aa018ee5302769c5,False,,Cycling Workout,cbf351dd18c4407b806c353a9956099e,iOS_app,1640388875.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,19.0,0.0,,,1640388815.0,1640370815.0,,,,,Christine D'Ercole,2021-12-24 23:33,Friday,late night,December-21,
1640111855.0,iPhone,1640111945.0,cycling,False,False,648ebaec5ab54feab763a1ce9a6cb9ae,False,,Cycling Workout,655457f5af8144da815de7d1377a5c35,iOS_app,1640111915.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,57.0,1.0,,,1640111855.0,1640093855.0,,,,,Christine D'Ercole,2021-12-21 18:37,Tuesday,evening,December-21,
1640052369.0,iPhone,1640053088.0,cycling,False,False,0cea3b003d5f454fa3bb682078ee0842,False,,Cycling Workout,0c14797cdca44972b9221d844abbfe0d,iOS_app,1640052458.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,719.0,0.0,,,1640052369.0,1640034369.0,,,,,Christine D'Ercole,2021-12-21 02:06,Tuesday,early morning,December-21,
1640050315.0,iPhone,1640052264.0,cycling,False,False,50ef2a9e9e024d0c8d9438737b337587,False,,Cycling Workout,fdbc5d2859fa4909afc3169fd6abfe26,iOS_app,1640050405.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,1972.0,1.0,,,1640050315.0,1640032315.0,,,,,Christine D'Ercole,2021-12-21 01:31,Tuesday,early morning,December-21,
1640017660.0,iPhone,1640019162.0,cycling,False,False,ffffb674a4034cb6b7f010f75c5c5db2,False,,Cycling Workout,5af6dffa66ce41a69f482228bcb62112,iOS_app,1640017749.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,1489.0,2.0,,,1640017660.0,1639999660.0,,,,,Christine D'Ercole,2021-12-20 16:27,Monday,early afternoon,December-21,
1639757630.0,iPhone,1639759520.0,cycling,False,False,cbe22ca00c994fd3a3ed7a97aded6ed5,False,,Cycling Workout,c875462d84754f41b842bd73900e387c,iOS_app,1639757720.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,1919.0,0.0,,,1639757630.0,1639739630.0,,,,,Christine D'Ercole,2021-12-17 16:13,Friday,early afternoon,December-21,
1639524875.0,iPhone,1639526045.0,cycling,False,False,3a08243efdbd42af8f4dbc8d1b6fc50f,False,,Cycling Workout,6a630fb65ef84e5893d88333f02fa514,iOS_app,1639524905.0,COMPLETE,America/New_York,,0.0,2897f20a1bd04b1697b8dde6d5392b1d,class,0.0,0.0,1289.0,0.0,,,1639524875.0,1639506875.0,,,,,Christine D'Ercole,2021-12-14 23:34,Tuesday,late night,December-21,
