created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id
1643847055,iPhone,1643847084.0,cycling,False,False,0a195f74384a41d2b5c22093e894bdc6,False,,Cycling Workout,bdf2be063a894a41971e5e4c85b46ec0,iOS_app,1643847084,COMPLETE,America/New_York,,0.0,b9e9151f055340349609e5980a338aeb,class,0,0,29.0,0.0,,,1643847055,1643829054,,,,,Cody Rigsby,2022-02-03 00:10,Thursday,early morning,February-22,
1643405793,home_bike_plus,1643406019.0,cycling,True,False,fc02d743aacf4bdb806623c9fed848c6,False,cycling,Cycling Workout,,home_bike,1643405801,COMPLETE,Etc/GMT+5,3 min 38 sec Just Ride,22827.89,b9e9151f055340349609e5980a338aeb,freestyle,0,0,0.0,0.0,30.0,0.0,1643405793,1643387793,,,,"{'id': '00000000000000000000000000000000', 'is_archived': False, 'instructor': {'name': 'JUST RIDE', 'image_url': 'https://s3.amazonaws.com/peloton-ride-images/just-ride.png'}, 'title': '3 min 38 sec Just Ride', 'scheduled_start_time': 1643405793, 'duration': 218}",freestyle,2022-01-28 21:36,Friday,late night,January-22,
1643316261,iPhone,1643318121.0,cycling,False,False,a4275c1b0f464f778ae7f7c06abbc9da,False,,Cycling Workout,250d24ce69694694b4c07cf7922b4d26,iOS_app,1643316321,COMPLETE,America/New_York,,0.0,b9e9151f055340349609e5980a338aeb,class,0,0,,,,,1643316261,1643298261,,,,,Kendall Toole,2022-01-27 20:44,Thursday,evening,January-22,
1643169065,iPhone,1643169155.0,cycling,False,False,a44561aaf37148f1b5683f29c3fc0806,False,,Cycling Workout,c79ea5c2709f4e88bc3c591e3e59f6cc,iOS_app,1643169095,COMPLETE,America/New_York,,0.0,b9e9151f055340349609e5980a338aeb,class,0,0,72.0,7.0,,,1643169065,1643151065,,,,,Cody Rigsby,2022-01-26 03:51,Wednesday,early morning,January-22,
1643167952,iPhone,1643167982.0,cycling,False,False,96eb5d4d46964a6c9c1f399ef5a7f43d,False,,Cycling Workout,f0a0f5c11950419883c9e406b1356ce3,iOS_app,1643167982,COMPLETE,America/New_York,,0.0,b9e9151f055340349609e5980a338aeb,class,0,0,27.0,15.0,,,1643167952,1643149952,,,,,Cody Rigsby,2022-01-26 03:32,Wednesday,early morning,January-22,
1643150782,iPhone,1643152042.0,cycling,False,False,95a87de126a94315b5a8a0d18ed4e278,False,,Cycling Workout,18b34fd00ece4b7a882af50a2227efdd,iOS_app,1643150842,COMPLETE,America/New_York,,0.0,b9e9151f055340349609e5980a338aeb,class,0,0,,,,,1643150782,1643132782,,,,,Cody Rigsby,2022-01-25 22:46,Tuesday,late night,January-22,
1643141889,iPhone,1643142979.0,strength,False,False,65c0541e24e349f79109d6c74df63da6,False,,Strength Workout,9e7a164acffe4b2c98372166e4aec3a9,iOS_app,1643142979,COMPLETE,America/New_York,,0.0,b9e9151f055340349609e5980a338aeb,class,0,0,5.0,0.0,,,1643141889,1643123889,,,,,Robin Arzón,2022-01-25 20:18,Tuesday,evening,January-22,
1643141492,iPhone,1643141732.0,cycling,False,False,53964143dbf14f668211f828862ae52f,False,,Cycling Workout,e9985c8f7e754c10bcf818e42cabda61,iOS_app,1643141732,COMPLETE,America/New_York,,0.0,b9e9151f055340349609e5980a338aeb,class,0,0,69.0,0.0,,,1643141492,1643123492,,,,,Tunde Oyeneyin,2022-01-25 20:11,Tuesday,evening,January-22,
1642885813,iPhone,1642886762.0,strength,False,False,19d2305967e745ebbc2f677bf6610ae8,False,,Strength Workout,29792be15945498c9a11c66bfc7902ad,iOS_app,1642885873,COMPLETE,America/New_York,,0.0,b9e9151f055340349609e5980a338aeb,class,0,0,714.0,5.0,,,1642885813,1642867813,,,,,Emma Lovewell,2022-01-22 21:10,Saturday,late night,January-22,
1642877666,apple_tv,1642879016.0,stretching,False,False,9a1ed868728648c09c4de8a84d2e9591,False,,Stretching Workout,71bb76ef7ace4e8fbb6a73f4679d3f46,apple_tv,1642877756,COMPLETE,America/New_York,,0.0,b9e9151f055340349609e5980a338aeb,class,0,0,1338.0,0.0,,,1642877666,1642859666,,,,,Hannah Corbin,2022-01-22 18:54,Saturday,evening,January-22,
