created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id,ride
1643728416,web,1643728457.0,strength,False,False,eb872aab62aa4d74af891a84f13fe983,False,,Strength Workout,da8de164b0e74a408b33f2a5fecece48,web,1643728446,COMPLETE,Europe/London,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,17.0,0.0,,,1643728416,1643728416,,,,Andy Speer,2022-02-01 15:13,Tuesday,early afternoon,February-22,,
1643629625,web,1643633345.0,strength,False,False,c83ac9414f754d12866dd84c13f8630b,False,,Strength Workout,8ca1dd5cc402465c81e2a0a76cdaf6b3,web,1643629669,COMPLETE,Europe/London,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,1631.0,2.0,,,1643629625,1643629625,,,,Andy Speer,2022-01-31 11:47,Monday,morning,January-22,,
1643626424,web,1643628211.0,strength,False,False,b8321213917a49ffa0fbf243be5992fe,False,,Strength Workout,d675cc4b32b04057ae7b9990e12cacf7,web,1643626536,COMPLETE,Europe/London,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,1815.0,0.0,,,1643626424,1643626424,,,,Andy Speer,2022-01-31 10:53,Monday,morning,January-22,,
1643625186,web,1643625722.0,strength,False,False,6d281b2dcc0646f6b7767328a6e3b6a8,False,,Strength Workout,e23e39dd0b9e4750890c71d517b4b3ba,web,1643625431,COMPLETE,Europe/London,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,406.0,1.0,,,1643625186,1643625186,,,,Andy Speer,2022-01-31 10:33,Monday,morning,January-22,,
1642466451,iPhone,1642466540.0,cycling,False,False,2dd18b9917e14c048521582a572b2bf0,False,,Cycling Workout,7478437410a84a9b8ef15bb5423aa010,iOS_app,1642466510,COMPLETE,America/Sao_Paulo,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,74.0,11.0,,,1642466451,1642455651,,,,Erik Jäger,2022-01-18 00:40,Tuesday,early morning,January-22,,
1642466319,iPhone,1642466423.0,cycling,False,False,aabe821d0ed346658f42d71bb9407815,False,,Cycling Workout,8f5517bbf6ed4f48906d7cb552ab6c50,iOS_app,1642466378,COMPLETE,America/Sao_Paulo,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,99.0,0.0,,,1642466319,1642455519,,,,Erik Jäger,2022-01-18 00:38,Tuesday,early morning,January-22,,
1641492586,iPhone,1641492765.0,cycling,False,False,34e1fd264cde44fe8ab4c1354a95948d,False,,Cycling Workout,40a43dfee97a48bd8105575aa4151494,iOS_app,1641492675,COMPLETE,America/Fortaleza,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,174.0,2.0,,,1641492586,1641481786,,,,Erik Jäger,2022-01-06 18:09,Thursday,evening,January-22,,
1641147743,iPhone,1641147834.0,strength,False,False,871fcbfb5a004e288f58690eeee2e414,False,,Strength Workout,7a2028be7ed54b50ab0b86048a1a8569,iOS_app,1641147834,COMPLETE,America/Fortaleza,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,73.0,38.0,,,1641147743,1641136943,,,,Erik Jäger,2022-01-02 18:22,Sunday,evening,January-22,,
1641147557,iPhone,1641147702.0,cycling,False,False,0dd6523e70dd497bb491ab852e809314,False,,Cycling Workout,5a6571038db34f55bb8e94808d97552a,iOS_app,1641147645,COMPLETE,America/Fortaleza,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,127.0,1.0,,,1641147557,1641136757,,,,Erik Jäger,2022-01-02 18:19,Sunday,evening,January-22,,
1640761515,iPhone,1640761574.0,cycling,False,False,7d894c45ef2544839caad2c54baf68c9,False,,Cycling Workout,b96db5c8630744bbb114f4ba4326388d,iOS_app,1640761574,COMPLETE,America/Fortaleza,,0.0,2e7f260795124de1bd31f5eba41d2656,class,0,0,24.0,1.0,,,1640761515,1640750715,,,,Erik Jäger,2021-12-29 07:05,Wednesday,morning,December-21,,
