created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id,ride
1643860693,web,1643861105.0,strength,False,False,0fb64c6ef6b148b4a24b2aa2a4488555,False,,Strength Workout,7573bf3db462408c8262c3b42c41a3eb,web,1643860709,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,407.0,1.0,,,1643860693,1643860693,,,,Rad Lopez,2022-02-03 03:58,Thursday,early morning,February-22,,
1643751314,web,1643754130.0,running,False,False,85953828857049359d92c288f0ab5608,False,,Running Workout,151198ae4166429c8ee7e8d354eeea2d,web,1643751391,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,2793.0,19.0,,,1643751314,1643751314,,,,Jeffrey McEachern,2022-02-01 21:35,Tuesday,late night,February-22,,
1643750564,web,1643751282.0,running,False,False,faa091f350d642848bf28353fb6950d2,False,,Running Workout,fac5a18a00354771aec8bcf1eb52642d,web,1643750639,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,697.0,2.0,,,1643750564,1643750564,,,,Robin Arzón,2022-02-01 21:22,Tuesday,late night,February-22,,
1643750475,web,1643750560.0,running,False,False,6106a4ef65e74e2bb45e704dcd89a629,False,,Running Workout,a350758fda644eccae48258909008ada,web,1643750556,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,75.0,6.0,,,1643750475,1643750475,,,,Robin Arzón,2022-02-01 21:21,Tuesday,late night,February-22,,
1643746568,iPhone,1643748016.0,walking,False,False,2e3ff3810eeb46d399eb3818be6790eb,False,,Walking Workout,2f11905fd14e4c96ab9eae9f4b593969,iOS_app,1643746597,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,977.0,0.0,,,1643746568,1643746568,,,,Becs Gentry,2022-02-01 20:16,Tuesday,evening,February-22,,
1643746256,iPhone,1643747516.0,walking,False,False,c0a7f46b181f49f380a708c842e695cf,False,,Walking Workout,2a273123dcaa45cf983509c2ee09412a,iOS_app,1643746316,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,47.0,4.0,,,1643746256,1643746256,,,,Becs Gentry,2022-02-01 20:10,Tuesday,evening,February-22,,
1643744762,iPhone,1643746072.0,walking,False,False,f9ac54caf5d34e12a8694d718f63873b,False,,Walking Workout,5e37ded7f5564c5db8ae71fb9a520528,iOS_app,1643744851,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,1389.0,1.0,,,1643744762,1643744762,,,,Kirsten Ferguson,2022-02-01 19:46,Tuesday,evening,February-22,,
1643699507,web,1643699905.0,strength,False,False,9e0af3e33cc34e31a46ded5eb1fb90b2,False,,Strength Workout,bd67ae5c736648a7833c3f0a8d61cb58,web,1643699536,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,382.0,1.0,,,1643699507,1643699507,,,,Rad Lopez,2022-02-01 07:11,Tuesday,morning,February-22,,
1643643391,web,1643644259.0,running,False,False,3356c8a699d34c259c0ade7c6a9fe381,False,,Running Workout,d3ad2d5dc3bf49e4a636b2a93a6a1a93,web,1643643466,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,871.0,2.0,,,1643643391,1643643391,,,,Jeffrey McEachern,2022-01-31 15:36,Monday,early afternoon,January-22,,
1643642527,web,1643643383.0,running,False,False,177ee58398e14a76a07c5330d50a9ef2,False,,Running Workout,1c532794ac8547b9917dc5e5b8370bfa,web,1643642601,COMPLETE,Europe/London,,0.0,06dd3c7c4f67455c8e107d76a1b564c6,class,0,0,690.0,0.0,,,1643642527,1643642527,,,,Jeffrey McEachern,2022-01-31 15:22,Monday,early afternoon,January-22,,
