created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id
1643721435,iPhone,1643722021.0,meditation,False,False,2a8fc9d0f63745058c4af8b6e59e9f23,False,,Meditation Workout,55e3afdca55a4564b0f30b71c72dd42e,iOS_app,1643721464,COMPLETE,America/New_York,,0.0,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,582.0,3.0,,,1643721435,1643703435,,,,,Kristin McGee,2022-02-01 13:17,Tuesday,early afternoon,February-22,
1643689451,iPhone,1643690140.0,meditation,False,False,11bab9fcd097499d8b6460be787c12ad,False,,Meditation Workout,9a64342d1c5f44219f4796854b856178,iOS_app,1643689541,COMPLETE,America/New_York,,0.0,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,718.0,0.0,,,1643689451,1643671451,,,,,Chelsea Jackson Roberts,2022-02-01 04:24,Tuesday,early morning,February-22,
1643675275,prism,1643678889.0,running,False,True,0f8c3dc6b9424cf196cca8411a72c1e9,True,running,Running Workout,3e50787bfa1c49d899546dd6e467e4c6,home_tread,1643675289,COMPLETE,Etc/GMT+5,,462557.49,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,3765.0,0.0,,,1643675275,1643657275,,,,,Becs Gentry,2022-02-01 00:27,Tuesday,early morning,February-22,
1643673251,iPhone,1643675238.0,running,False,False,15d922cfed064351b99f03d95fe1a4d4,False,,Running Workout,65c5f8817951466c906954fa4ea2814e,iOS_app,1643673670,COMPLETE,America/New_York,,335749.51,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,1435.0,3.0,,,1643673251,1643655251,,,,,Kirsten Ferguson,2022-01-31 23:54,Monday,late night,January-22,
1643636119,iPhone,1643636749.0,meditation,False,False,2ecef83f7229421ca2c610da556b8ba9,False,,Meditation Workout,54d1d34cdad74e6eb3cc794bbe2ecf89,iOS_app,1643636149,COMPLETE,America/New_York,,0.0,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,639.0,0.0,,,1643636119,1643618119,,,,,Kristin McGee,2022-01-31 13:35,Monday,early afternoon,January-22,
1643601367,iPhone,1643603349.0,meditation,False,False,84f356c373f746dd88c64c530876afeb,False,,Meditation Workout,c8333bb3b1984e75b32580fe2e4ea9aa,iOS_app,1643601397,COMPLETE,America/New_York,,0.0,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,1239.0,3.0,,,1643601367,1643583367,,,,,Ross Rayburn,2022-01-31 03:56,Monday,early morning,January-22,
1643573075,iPhone,1643573521.0,strength,False,False,a86ab0a7e5934c15a715cafe7835f64f,False,,Strength Workout,bc52cb74416e43569135bf076d95618d,iOS_app,1643573165,COMPLETE,America/New_York,,0.0,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,430.0,4.0,,,1643573075,1643555075,,,,,Jess Sims,2022-01-30 20:04,Sunday,evening,January-22,
1643572977,iPhone,1643573048.0,strength,False,False,95d9f4a41faa4bc8ba2a1224deeafb3d,False,,Strength Workout,c0c85387f8674359ad7c10420be4825c,iOS_app,1643573007,COMPLETE,America/New_York,,0.0,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,68.0,0.0,,,1643572977,1643554977,,,,,Jess Sims,2022-01-30 20:02,Sunday,evening,January-22,
1643572814,iPhone,1643574674.0,strength,False,False,1bdf8bb980bd471eb9ca92f6b6f83088,False,,Strength Workout,0f140fb336534b10928b37ac46795947,iOS_app,1643572874,COMPLETE,America/New_York,,0.0,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,,,,,1643572814,1643554814,,,,,Andy Speer,2022-01-30 20:00,Sunday,evening,January-22,
1643572507,iPhone,1643572799.0,strength,False,False,1a74a317fe00420381e1432988219926,False,,Strength Workout,a29a4c41f10849e09dfbc5d7f6f08c74,iOS_app,1643572596,COMPLETE,America/New_York,,0.0,b922a9b8f6be49e8b72b7dbf5506f088,class,0,0,277.0,2.0,,,1643572507,1643554507,,,,,Andy Speer,2022-01-30 19:55,Sunday,evening,January-22,
