created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id
1643809885,home_bike_plus,1643812675.0,bike_bootcamp,True,True,126c39b066f74e09b6c6956037f22cdb,True,cycling,Bike Bootcamp Workout,b1ec8a7ef27b4a7db2884bf18eb79187,home_bike,1643809976,COMPLETE,Etc/GMT+5,,139428.18,31ae007e7a7240c7828064205437909f,class,0,0,2892.0,1.0,,,1643809885,1643791885,,,,Jess Sims,2022-02-02 13:51,Wednesday,early afternoon,February-22,
1643724523,home_tread,1643727258.0,circuit,False,True,4a47dc8bfba14c1d8f11e9bc045289ac,False,running,Tread Bootcamp Workout,6798c54dae294f0facea65b6dfe65a8f,home_tread,1643724560,COMPLETE,Etc/GMT+5,,266306.8,31ae007e7a7240c7828064205437909f,class,0,0,2877.0,1.0,,,1643724523,1643706523,,,,Adrian Williams,2022-02-01 14:08,Tuesday,early afternoon,February-22,
1643680032,iPhone,1643680091.0,running,False,False,c751a5360dd74ef1b046feb2004f1ed2,False,,Running Workout,2142d6647f4643d4acaf094a5ce63f8e,iOS_app,1643680061,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,53.0,0.0,,,1643680032,1643662032,,,,Kirsten Ferguson,2022-02-01 01:47,Tuesday,early morning,February-22,
1643649141,iPhone,1643649441.0,bike_bootcamp,False,False,8ed868d2ff334dfabdb5d8b59efd6582,False,,Bike Bootcamp Workout,fdc8ee1a3df846b1acaa53a1e815599b,iOS_app,1643649171,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,313.0,0.0,,,1643649141,1643631141,,,,Jess Sims,2022-01-31 17:12,Monday,evening,January-22,
1643582648,iPhone,1643583748.0,walking,False,False,f3cd8d14e7194d9497872bcf24833134,False,,Walking Workout,2a18f00276914f85b8e25b85970f48c4,iOS_app,1643582737,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,1011.0,37.0,,,1643582648,1643564648,,,,Kirsten Ferguson,2022-01-30 22:44,Sunday,late night,January-22,
1643475890,iPhone,1643477750.0,running,False,False,36c5f08dd890455599d277c85703e214,False,,Running Workout,913fda12721a4906a303995b8a031b4e,iOS_app,1643475950,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,1949.0,0.0,,,1643475890,1643457890,,,,Kirsten Ferguson,2022-01-29 17:04,Saturday,evening,January-22,
1643330581,iPhone,1643331301.0,running,False,False,b624876b83e14556a5517db3d10ec202,False,,Running Workout,3d42f48b35c24bbfb8c492d27a5346b9,iOS_app,1643330671,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,741.0,0.0,,,1643330581,1643312581,,,,Kirsten Ferguson,2022-01-28 00:43,Friday,early morning,January-22,
1643329098,iPhone,1643330448.0,walking,False,False,b33bd4d7180e402fa1b075785891852e,False,,Walking Workout,49d987adbd324dea8a1fae3643219309,iOS_app,1643329188,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,1379.0,0.0,,,1643329098,1643311098,,,,Kirsten Ferguson,2022-01-28 00:18,Friday,early morning,January-22,
1643280698,iPhone,1643281387.0,meditation,False,False,5337e928a2be413496c262c49d5224ac,False,,Meditation Workout,2c33dc67357c4e2ebe8549078acf676e,iOS_app,1643280787,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,726.0,0.0,,,1643280698,1643262698,,,,Aditi Shah,2022-01-27 10:51,Thursday,morning,January-22,
1643125623,iPhone,1643127512.0,walking,False,False,7120865eb32044689d6586b4a3fc9ee6,False,,Walking Workout,5852dd60cea64ff2b2caef07c52459d2,iOS_app,1643125712,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,1978.0,0.0,,,1643125623,1643107623,,,,Kirsten Ferguson,2022-01-25 15:47,Tuesday,early afternoon,January-22,
1642947762,iPhone,1642949462.0,yoga,False,False,87437c0bc26146cfb1681f0c0e9a4535,False,,Yoga Workout,68fd30cb4c4c45f6b19b4af84403db97,iOS_app,1642948251,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,1490.0,2.0,,,1642947762,1642929762,,,,Chelsea Jackson Roberts,2022-01-23 14:22,Sunday,early afternoon,January-22,
1642945639,iPhone,1642947360.0,walking,False,False,99d83fcf5be64f718d77c0d3d4e5220b,False,,Walking Workout,88380858501c41dc87658ccc5881502f,iOS_app,1642945639,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,7.0,1.0,,,1642945639,1642927639,,,,Kirsten Ferguson,2022-01-23 13:47,Sunday,early afternoon,January-22,
1642944613,home_tread,1642947360.0,walking,False,True,ff6ae25550c74d11b62fdf40d690cd54,True,running,Walking Workout,88380858501c41dc87658ccc5881502f,home_tread,1642944662,COMPLETE,Etc/GMT+5,,557155.09,31ae007e7a7240c7828064205437909f,class,0,0,2895.0,2.0,,,1642944613,1642926613,,,,Kirsten Ferguson,2022-01-23 13:30,Sunday,early afternoon,January-22,
1642892362,iPhone,1642893921.0,walking,False,False,07aed9ff66ed4dfd9e5acaabe3f685c7,False,,Walking Workout,17768283bad64927ad60d05b0cea346d,iOS_app,1642892422,COMPLETE,America/New_York,,0.0,31ae007e7a7240c7828064205437909f,class,0,0,1525.0,3.0,,,1642892362,1642874362,,,,Kirsten Ferguson,2022-01-22 22:59,Saturday,late night,January-22,
1642863308,prism,1642867249.0,circuit,False,True,dac2b5fd970f41a090ebe9529c1ddd26,False,running,Tread Bootcamp Workout,4cd25dc695a64ade931c4f68735e1b6d,home_tread,1642863646,COMPLETE,Etc/GMT+5,,438647.26,31ae007e7a7240c7828064205437909f,class,0,0,4089.0,10.0,,,1642863308,1642845308,,,,Jess Sims,2022-01-22 14:55,Saturday,early afternoon,January-22,
