created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year
1643573577,prism,1643573626.0,walking,False,True,aaf82956de9c4c67bdb8f4e742d5b0d5,False,running,Walking Workout,f39976530a284c4fa6c769e69a75a421,home_tread,1643573588,COMPLETE,Etc/GMT+5,,2496.12,559223b8027549009562ae50287afb11,class,0,0,46.0,1.0,,,1643573577,1643555577,,,,,Matty Maggiacomo,2022-01-30 20:12,Sunday,evening,January-22
1643573488,prism,1643573556.0,running,False,True,53d8a66b0af64df58810354415e0d44e,False,running,Running Workout,70563cf23a934dafb48d59a9078b4c3a,home_tread,1643573500,COMPLETE,Etc/GMT+5,,3733.17,559223b8027549009562ae50287afb11,class,0,0,62.0,1.0,,,1643573488,1643555488,,,,,Joslyn Thompson Rule,2022-01-30 20:11,Sunday,evening,January-22
1643550515,prism,1643551731.0,walking,False,True,22a60f02ca4e469db9d7cfe8b56d04d3,True,running,Walking Workout,091343a7acf445a58212ea6b80c282d9,home_tread,1643550530,COMPLETE,Etc/GMT+5,,265542.48,559223b8027549009562ae50287afb11,class,0,0,1297.0,0.0,,,1643550515,1643532515,,,,,Jess Sims,2022-01-30 13:48,Sunday,early afternoon,January-22
1643423082,iPhone,1643424666.0,cardio,False,False,90e53fbd3d1e4cb6b7af8bae1543d6ca,False,,Cardio Workout,2a4355c4afa94194b55ba2667ca6a192,iOS_app,1643423142,COMPLETE,America/New_York,,0.0,559223b8027549009562ae50287afb11,class,0,0,166.0,1.0,,,1643423082,1643405082,,,,,Kendall Toole,2022-01-29 02:24,Saturday,early morning,January-22
1643411083,iPhone,1643412732.0,cardio,False,False,f16843bef5db4c9a89185bfe45e99fde,False,,Cardio Workout,5ca8cff9b6b34a6288bb68e42909f1ff,iOS_app,1643411142,COMPLETE,America/New_York,,0.0,559223b8027549009562ae50287afb11,class,0,0,1711.0,0.0,,,1643411083,1643393083,,,,,Rad Lopez,2022-01-28 23:04,Friday,late night,January-22
1642942795,home_bike_v1,1642944650.0,cycling,True,True,452708884cef409fac75340563836097,False,cycling,Cycling Workout,8dcd5fc257af40578bbd2bf8113aaa22,home_bike,1642942851,COMPLETE,Etc/GMT+5,,207403.25,559223b8027549009562ae50287afb11,class,0,0,1976.0,1.0,,,1642942795,1642924795,,,,,Kendall Toole,2022-01-23 12:59,Sunday,early afternoon,January-22
1642876151,home_bike_v1,1642878050.0,cycling,True,True,3538f94a81c5423cbf114e8b4c187980,False,cycling,Cycling Workout,45910cf4a25d4a068f640f6a11e24184,home_bike,1642876255,COMPLETE,Etc/GMT+5,,189803.96,559223b8027549009562ae50287afb11,class,0,0,2067.0,1.0,,,1642876151,1642858151,,,,,Alex Toussaint,2022-01-22 18:29,Saturday,evening,January-22
1642696211,prism,1642697450.0,running,False,True,c1342cec814d44919d3ee8899232f6c2,False,running,Running Workout,f1902fa7fa1341a89b80f0e67d003d40,home_tread,1642696249,COMPLETE,Etc/GMT+5,,236884.15,559223b8027549009562ae50287afb11,class,0,0,1317.0,1.0,,,1642696211,1642678211,,,,,Selena Samuela,2022-01-20 16:30,Thursday,early afternoon,January-22
1642601031,prism,1642601343.0,running,False,True,b86ccba14a9f4df6b4832fb0e8df79ef,True,running,Running Workout,3bf7bbf4c2b04c08b0b65fcd2faaf382,home_tread,1642601043,COMPLETE,Etc/GMT+5,,65166.76,559223b8027549009562ae50287afb11,class,0,0,370.0,1.0,,,1642601031,1642583031,,,,,Marcel Dinkins,2022-01-19 14:03,Wednesday,early afternoon,January-22
1642518413,prism,1642519551.0,running,False,True,0d3c58991b0449909327d5c71042a65e,False,running,Running Workout,88fb710284b04fe0a8591cc47dec8277,home_tread,1642518414,COMPLETE,Etc/GMT+5,,249556.77,559223b8027549009562ae50287afb11,class,0,0,1217.0,4.0,,,1642518413,1642500413,,,,,Jess King,2022-01-18 15:06,Tuesday,early afternoon,January-22
