created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id
1643722513,iPhone,1643722603.0,running,False,False,a27eb51118b44315b08ca65ebc2e217d,False,,Running Workout,ea00636eda0f4a2598f46514e1e0be8e,iOS_app,1643722573,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,67.0,0.0,,,1643722513,1643704513,,,,,Matty Maggiacomo,2022-02-01 13:35,Tuesday,early afternoon,February-22,
1643631931,iPhone,1643632620.0,meditation,False,False,8938fc031b724dcda52ac8ad7f0c7702,False,,Meditation Workout,461a2046a8744464adfc88385b4d7d28,iOS_app,1643632020,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,719.0,0.0,,,1643631931,1643613931,,,,,Chelsea Jackson Roberts,2022-01-31 12:25,Monday,early afternoon,January-22,
1643495334,iPhone,1643495993.0,strength,False,False,654663b9e2914c22a6cab197d97de1a5,False,,Strength Workout,38e1b9a1f4724245bfa6a9f161dbcdf3,iOS_app,1643495393,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,666.0,1.0,,,1643495334,1643477334,,,,,Callie Gullickson,2022-01-29 22:28,Saturday,late night,January-22,
1643491188,iPhone,1643493040.0,running,False,False,37fe60b0efd646cc8456f4be740a747f,False,,Running Workout,12bfc4f97939434dba9b25218271da71,iOS_app,1643491247,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,1848.0,1.0,,,1643491188,1643473188,,,,,Olivia Amato,2022-01-29 21:19,Saturday,late night,January-22,
1643397247,iPhone,1643398536.0,meditation,False,False,ab3059d7b1894ebea9f1381eec99a479,False,,Meditation Workout,fe93c9f4a9ca45898f4b6a71766e45f6,iOS_app,1643397336,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,1289.0,0.0,,,1643397247,1643379247,,,,,Kristin McGee,2022-01-28 19:14,Friday,evening,January-22,
1643391552,iPhone,1643394639.0,walking,False,False,a23f4096b9be4dd8978c43cd629ce105,False,,Walking Workout,9139a0bb1d744e67a4aa52b630f3c78c,iOS_app,1643391581,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,2021.0,20.0,,,1643391552,1643373552,,,,,Matty Maggiacomo,2022-01-28 17:39,Friday,evening,January-22,
1643384605,iPhone,1643385294.0,walking,False,False,7040c53447904a999e2ca862e484492d,False,,Walking Workout,2a749e98fcb347c3b32133961f9302b3,iOS_app,1643384694,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,683.0,5.0,,,1643384605,1643366605,,,,,Matty Maggiacomo,2022-01-28 15:43,Friday,early afternoon,January-22,
1643340078,iPhone,1643340303.0,strength,False,False,88ed2662d3b34cda80072ddccb514fee,False,,Strength Workout,163851a4a11549729aa789583f5a6a29,iOS_app,1643340168,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,220.0,1.0,,,1643340078,1643322078,,,,,Matty Maggiacomo,2022-01-28 03:21,Friday,early morning,January-22,
1643302795,iPhone,1643303382.0,strength,False,False,7923892b330b4e96b0289e3547947f83,False,,Strength Workout,44f6af4dcb53489e9a112cf23b12b2f4,iOS_app,1643302884,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,419.0,0.0,,,1643302795,1643284795,,,,,Matty Maggiacomo,2022-01-27 16:59,Thursday,early afternoon,January-22,
1643236096,iPhone,1643236185.0,strength,False,False,f0f94c53a097428d91009bb6f2d47c68,False,,Strength Workout,e512bd8f9d5b444b8dc7021bfacc0683,iOS_app,1643236125,COMPLETE,America/New_York,,0.0,55a543e4af764a74b6c44a939af78271,class,0,0,82.0,1.0,,,1643236096,1643218096,,,,,Callie Gullickson,2022-01-26 22:28,Wednesday,late night,January-22,
