created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year,service_id
1643217652,iPhone,1643218550.0,cycling,False,False,eeb9fc10054445a79c7822f296d7fd61,False,,Cycling Workout,f4a7823ff5184af585bd4b7ce1a5fcef,iOS_app,1643217652,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,,,,,1643217652,1643217652,,,,,Cliff Dwenger,2022-01-26 17:20,Wednesday,evening,January-22,
1643216615,iPhone,1643217102.0,cycling,False,False,04e5f7f1231b415084bba04c4ffb05be,False,,Cycling Workout,8c1966ebb6ca4e2f8a4d445eab7ff011,iOS_app,1643216734,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,368.0,0.0,,,1643216615,1643216615,,,,,Cliff Dwenger,2022-01-26 17:03,Wednesday,evening,January-22,
1642865501,iPhone,1642866728.0,cycling,False,False,c2af882d95cd4144af7f70558cc3edc4,False,,Cycling Workout,f484ef8e7904431eb870dd697a2a1560,iOS_app,1642865588,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,1246.0,0.0,,,1642865501,1642865501,,,,,Mayla Wedekind,2022-01-22 15:31,Saturday,early afternoon,January-22,
1642864203,iPhone,1642864890.0,cycling,False,False,00094b872afe4d75a6d4d6685f4e5f8d,False,,Cycling Workout,220efa790ae24fa1bd47c4eaf1716e3e,iOS_app,1642864232,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,682.0,1.0,,,1642864203,1642864203,,,,,Mayla Wedekind,2022-01-22 15:10,Saturday,early afternoon,January-22,
1641923243,iPhone,1641923836.0,running,False,False,e1903f040ad94cf5bfc49853ec2b4ba3,False,,Running Workout,3f846ea4b74344f096420760c60ab392,iOS_app,1641923332,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,690.0,3.0,,,1641923243,1641923243,,,,,Jeffrey McEachern,2022-01-11 17:47,Tuesday,evening,January-22,
1641833902,iPhone,1641835341.0,running,False,False,2878c903e09541328de0aa3c9171e4bb,False,,Running Workout,5e73092692874ff4a03b8968a9de6251,iOS_app,1641834142,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,1568.0,1.0,,,1641833902,1641833902,,,,,Tobias Heinze,2022-01-10 16:58,Monday,early afternoon,January-22,
1641402062,iPhone,1641402474.0,cycling,False,False,e20677b9cd9b4231baf3e014d49f9905,False,,Cycling Workout,d3e1428a07c342dc8dcfb05b4681fddb,iOS_app,1641402091,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,410.0,0.0,,,1641402062,1641402062,,,,,Cliff Dwenger,2022-01-05 17:01,Wednesday,evening,January-22,
1641401595,iPhone,1641402044.0,strength,False,False,5a6ea6e2761844ca9fdb0415d8b97ec2,False,,Strength Workout,8a1318823b174d9492fbaf2084f50cf9,iOS_app,1641401625,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,450.0,0.0,,,1641401595,1641401595,,,,,Marcel Maurer,2022-01-05 16:53,Wednesday,early afternoon,January-22,
1641397128,home_bike_plus,1641399850.0,strength,False,False,7427fc8c193046e799a6676c75f0f4a0,False,,Strength Workout,d88664d11c9140aaa592bbe74a8e8634,home_bike,1641397150,COMPLETE,UTC,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,2923.0,0.0,,,1641397128,1641397128,,,,,Marcel Maurer,2022-01-05 15:38,Wednesday,early afternoon,January-22,
1641322225,iPhone,1641323124.0,cycling,False,False,9bc4230ab0134e2d9e5d5b35d7de2330,False,,Cycling Workout,d708898b62594205abdaacc14676c5f6,iOS_app,1641322284,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,36.0,14.0,,,1641322225,1641322225,,,,,Benny Adami,2022-01-04 18:50,Tuesday,evening,January-22,
1641321622,iPhone,1641321951.0,cycling,False,False,8d561c1569b64be5b3f4fbb80bdcc6e5,False,,Cycling Workout,5927dcd3f1e44cf197ab06c6e6998c17,iOS_app,1641321652,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,380.0,0.0,,,1641321622,1641321622,,,,,Benny Adami,2022-01-04 18:40,Tuesday,evening,January-22,
1640803049,iPhone,1640803954.0,cycling,False,False,a2006025a7054282912b391aff1e164d,False,,Cycling Workout,d6e1ffadaa534972878a6306de471814,iOS_app,1640803078,COMPLETE,Europe/London,,0.0,f42d4272fdc9419b80c0a1d998848adc,class,0,0,903.0,0.0,,,1640803049,1640803049,,,,,Cliff Dwenger,2021-12-29 18:37,Wednesday,evening,December-21,
