,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name
0,1643757118,iPhone,,running,False,False,fe35d34e35be463bb5fd517fc9948ed5,False,,Running Workout,4e2031ea51f34801b57a6eae6f8cec56,iOS_app,1643757350,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,181.0,0.0,,,1643757118,1643739118,,,,,Jess Sims
1,1643728052,iPhone,1643729222.0,running,False,False,6dc5d31890a1487fac3893a7488f4662,False,,Running Workout,e87fc80ce0ba426a8c37ec152026fdbe,iOS_app,1643728172,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,1185.0,0.0,,,1643728052,1643710052,,,,,Jess King
2,1643726322,iPhone,1643727131.0,running,False,False,211c426c471f4837a593ffdfff89b782,False,,Running Workout,5bf387e7bb3b4cc3bf7095a9bfe0ec9f,iOS_app,1643726411,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,896.0,0.0,,,1643726322,1643708322,,,,,Jess King
3,1643653624,iPhone,1643655094.0,strength,False,False,139b68dada9a4f80b8c8e975e6209d2f,False,,Strength Workout,2144ac16f9514571b07d99f89351ee67,iOS_app,1643653864,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,1576.0,1.0,,,1643653624,1643635624,,,,,Andy Speer
4,1643641709,iPhone,1643642428.0,strength,False,False,68f7dd34719f485b81dd3bab90d7569a,False,,Strength Workout,3a5190f8e44e48f0acb68e66b15134cd,iOS_app,1643641828,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,614.0,0.0,,,1643641709,1643623709,,,,,Daniel McKenna
5,1643603418,iPhone,1643604264.0,cardio,False,False,11dc1e15e32c4f0db24ded74fa1c3823,False,,Cardio Workout,92cb012cf5e84a839041f2aad2b34090,iOS_app,1643603449,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,918.0,5.0,,,1643603418,1643585418,,,,,Rad Lopez
6,1643547737,iPhone,1643548426.0,cycling,False,False,4aead8e52097423583f2f7a5948bd356,False,,Cycling Workout,3c4eda1907b045cb9e611ce3d48c6aaf,iOS_app,1643547766,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,688.0,0.0,,,1643547737,1643529737,,,,,Camila Ramón
7,1643421444,iPhone,1643422531.0,cardio,False,False,fffbfaadb8b0405bbb2feef6a6956350,False,,Cardio Workout,2a4355c4afa94194b55ba2667ca6a192,iOS_app,1643421824,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,328.0,5.0,,,1643421444,1643403444,,,,,Kendall Toole
8,1643414286,iPhone,1643416287.0,cardio,False,False,f217835919164658bf52d2ffa5684cd3,False,,Cardio Workout,f37bbd9195c140c59370d7b3688d06dc,iOS_app,1643414555,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,1251.0,7.0,,,1643414286,1643396286,,,,,Selena Samuela
9,1643389482,iPhone,1643389561.0,cardio,False,False,294ca5e3d17343a3aa0361d4c92146b3,False,,Cardio Workout,2c80ada16b624099af536bd2a75cb267,iOS_app,1643389512,COMPLETE,America/New_York,,0.0,59e3bfdb1bea41e389420210ae78ee68,class,0,0,63.0,7.0,,,1643389482,1643371482,,,,,Kendall Toole
