created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,ride,instructor_name,workout_timestamp,workout: day of week,workout: time of day,workout: month and year
1637855770,home_bike_v1,1637858749.0,cycling,True,True,db26832e04c1470eb5a5e5bbfd3c9fb4,False,cycling,Cycling Workout,b304bbae0d6945b48366d4dad851c875,home_bike,1637856052,COMPLETE,Etc/GMT+6,,234609.82,326a4fda216b45c6b028cb97c552496f,class,0,0,3118.0,2.0,,,1637855770,1637834170,,,,,Robin Arzón,2021-11-25 15:56,Thursday,early afternoon,November-21
1631791691,home_bike_v1,1631792908.0,cycling,True,True,b910c05fc2e14a9fa2d809afe5c57d88,False,cycling,Cycling Workout,9e010ce270f04fe096dcf049268a4a4d,home_bike,1631791710,COMPLETE,Etc/GMT+5,,27808.25,326a4fda216b45c6b028cb97c552496f,class,0,0,1425.0,0.0,,,1631791691,1631773691,,,,,Tunde Oyeneyin,2021-09-16 11:28,Thursday,morning,September-21
1631620927,home_bike_v1,1631622187.0,cycling,True,True,a6934280274244e7a12c4962e2415f25,False,cycling,Cycling Workout,e9fb6a386c874012be12e92f3d5e090f,home_bike,1631620989,COMPLETE,Etc/GMT+5,,35583.3,326a4fda216b45c6b028cb97c552496f,class,0,0,1454.0,1.0,,,1631620927,1631602927,,,,,Tunde Oyeneyin,2021-09-14 12:02,Tuesday,early afternoon,September-21
1630730839,home_bike_v1,1630731308.0,cycling,True,True,d408d9d5786f446c855b714a2966f000,False,cycling,Cycling Workout,969def1809054c368d7c6820acacde7f,home_bike,1630730869,COMPLETE,Etc/GMT+5,,28844.39,326a4fda216b45c6b028cb97c552496f,class,0,0,463.0,1.0,,,1630730839,1630712839,,,,,Tunde Oyeneyin,2021-09-04 04:47,Saturday,early morning,September-21
1627417577,home_bike_v1,1627418647.0,cycling,True,True,b933ee44a9644c02affc32a095f5a899,False,cycling,Cycling Workout,d8eb7207792c4849897622b5ad051da9,home_bike,1627417802,COMPLETE,Etc/GMT+5,,0.0,326a4fda216b45c6b028cb97c552496f,class,901,0,904.0,0.0,,,1627417577,1627399577,,,,,Tunde Oyeneyin,2021-07-27 20:26,Tuesday,evening,July-21
1627102591,home_bike_v1,1627102814.0,cycling,True,True,709eccb28b754fbd9fe131aa33a27025,False,cycling,Scenic Ride,64bca802e0164d90b46818f3b1424508,home_bike,1627102593,COMPLETE,Etc/GMT+5,,667.79,326a4fda216b45c6b028cb97c552496f,scenic,0,0,220.0,0.0,217.0,0.0,1627102591,1627084591,,,,,Scenic Ride,2021-07-24 04:56,Saturday,early morning,July-21
1627102140,home_bike_v1,1627102401.0,cycling,True,True,797950ec496d42f79641989a6d3ca125,False,cycling,Cycling Workout,5418ff31f150457b8e9e70e078824559,home_bike,1627102158,COMPLETE,Etc/GMT+5,,15633.19,326a4fda216b45c6b028cb97c552496f,class,241,0,258.0,0.0,,,1627102140,1627084140,,,,,Tunde Oyeneyin,2021-07-24 04:49,Saturday,early morning,July-21
1625691674,iPhone,1625693444.0,cycling,False,False,29b4f957e8f246f6a9654e90e109ae10,False,,Cycling Workout,6acf8dddd81f45a1930556ccd5d4f12e,iOS_app,1625691704,COMPLETE,America/Chicago,,0.0,326a4fda216b45c6b028cb97c552496f,class,1796,4,1805.0,0.0,,,1625691674,1625673674,,,,,Tunde Oyeneyin,2021-07-07 21:01,Wednesday,late night,July-21
1625605157,home_bike_v1,1625605362.0,cycling,True,True,8f8fe35adf774e20b435f758d59ad2a1,False,cycling,Cycling Workout,51fd1c27481a4947a1d2b029b06e1dce,home_bike,1625605160,COMPLETE,Etc/GMT+5,,16.5,326a4fda216b45c6b028cb97c552496f,class,181,0,204.0,0.0,,,1625605157,1625587157,,,,,Alex Toussaint,2021-07-06 20:59,Tuesday,evening,July-21
1625604401,home_bike_v1,1625605028.0,cycling,True,True,d150a4aa63504815b4eaf5887d92b0ea,False,cycling,Cycling Workout,a034959673b04f2ca2f4b74890b21df7,home_bike,1625604430,COMPLETE,Etc/GMT+5,,196.02,326a4fda216b45c6b028cb97c552496f,class,596,5,703.0,5.0,,,1625604401,1625586401,,,,,Alex Toussaint,2021-07-06 20:46,Tuesday,evening,July-21
1625603729,home_bike_v1,1625604379.0,cycling,True,True,60a20241d237497ea553aed87ee9ca8c,False,cycling,Cycling Workout,50b7a9f95a1f432587457c4f7ae7934d,home_bike,1625603761,COMPLETE,Etc/GMT+5,,1589.77,326a4fda216b45c6b028cb97c552496f,class,630,1,648.0,0.0,,,1625603729,1625585729,,,,,Tunde Oyeneyin,2021-07-06 20:35,Tuesday,evening,July-21
1625463078,home_bike_v1,1625463325.0,cycling,True,True,e747a371a4c7452dba96cb9fb8562286,False,cycling,Cycling Workout,3dca22a913504a63a9657be8af565417,home_bike,1625463140,COMPLETE,Etc/GMT+5,,3539.77,326a4fda216b45c6b028cb97c552496f,class,241,0,246.0,0.0,,,1625463078,1625445078,,,,,Tunde Oyeneyin,2021-07-05 05:31,Monday,early morning,July-21
1625021625,home_bike_v1,1625021646.0,cycling,True,True,a653c4d26ad0430290413039a846a79c,False,cycling,Cycling Workout,5dac912e653e44af838f88ef2d542627,home_bike,1625021646,COMPLETE,Etc/GMT+5,,0.0,326a4fda216b45c6b028cb97c552496f,class,0,0,21.0,0.0,,,1625021625,1625003625,,,,,Tunde Oyeneyin,2021-06-30 02:53,Wednesday,early morning,June-21
1625019166,home_bike_v1,1625019992.0,cycling,True,True,0fca09a565a94ed687ec9ca18d02b147,False,cycling,Cycling Workout,0d6f89ff30fd42f2a55e4022db1b2552,home_bike,1625019302,COMPLETE,Etc/GMT+5,,5349.7,326a4fda216b45c6b028cb97c552496f,class,751,0,750.0,0.0,,,1625019166,1625001166,,,,,Tunde Oyeneyin,2021-06-30 02:12,Wednesday,early morning,June-21
1624913596,iPhone,1624914967.0,cycling,False,False,4f02428ae85e470781cf235965a1f1da,False,,Cycling Workout,95b96ef105604c43936911d49eb064d3,iOS_app,1624913655,COMPLETE,America/Chicago,,0.0,326a4fda216b45c6b028cb97c552496f,class,1255,3,1273.0,1.0,,,1624913596,1624895596,,,,,Tunde Oyeneyin,2021-06-28 20:53,Monday,evening,June-21
1624911847,iPhone,1624913247.0,cycling,False,False,cd22db95fad948929f76c151b4e886aa,False,,Cycling Workout,ff523209ca3b497ea458df56ee2aa227,iOS_app,1624911936,COMPLETE,America/Chicago,,0.0,326a4fda216b45c6b028cb97c552496f,class,1252,3,1265.0,1.0,,,1624911847,1624893847,,,,,Tunde Oyeneyin,2021-06-28 20:24,Monday,evening,June-21
1624910135,iPhone,1624911785.0,cycling,False,False,c464236ed7574b22b1787b7bfafa9c76,False,,Cycling Workout,78b71d0511d0495e98c07abf980329b9,iOS_app,1624910225,COMPLETE,America/Chicago,,0.0,326a4fda216b45c6b028cb97c552496f,class,1381,3,1382.0,3.0,,,1624910135,1624892135,,,,,Tunde Oyeneyin,2021-06-28 19:55,Monday,evening,June-21
1624547026,home_bike_v1,1624547949.0,cycling,True,True,5da4ad4182eb4ca2b20db2a10270652f,False,cycling,Cycling Workout,b4f813a7194d47f7848fda9c9e53a8a4,home_bike,1624547052,COMPLETE,Etc/GMT+5,,76479.01,326a4fda216b45c6b028cb97c552496f,class,901,0,1141.0,0.0,,,1624547026,1624529026,,,,,Tunde Oyeneyin,2021-06-24 15:03,Thursday,early afternoon,June-21
1624456229,home_bike_v1,1624457489.0,cycling,True,True,22c78a23689f4b5b823a141234637252,False,cycling,Cycling Workout,933fe2abc4c3464db621ebee2098a147,home_bike,1624456291,COMPLETE,Etc/GMT+5,,75329.91,326a4fda216b45c6b028cb97c552496f,class,1231,0,1291.0,0.0,,,1624456229,1624438229,,,,,Tunde Oyeneyin,2021-06-23 13:50,Wednesday,early afternoon,June-21
