Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-10-17 12:11 (-04),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2021-10-16 13:23 (-04),319,118,44%,72,16.94,12.70,649,151.35,,
2021-10-18 15:00 (-04),Live,Bradley Rose,30,Cycling,Music,30 min Indie Rock Ride,2021-10-18 14:55 (-04),186,103,38%,81,15.72,7.86,413,147.29,,
2021-10-21 13:08 (-04),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2019-06-01 16:49 (-04),313,116,42%,76,16.90,12.68,726,162.27,,
2021-10-22 15:53 (-04),On Demand,Camila Ramon,30,Cycling,Music,30 min Todo Ritmo Ride,2021-10-22 09:22 (-04),214,119,41%,80,17.04,8.52,459,156.89,,
2021-10-23 16:27 (-04),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2021-09-18 13:26 (-04),323,120,43%,78,17.19,12.89,716,160.84,,
2021-10-24 12:47 (-04),On Demand,Camila Ramon,30,Cycling,Music,30 min EDM Ride,2021-10-19 07:19 (-04),229,127,43%,76,17.40,8.70,458,156.72,,
2021-10-26 12:35 (-04),Live,Leanne Hainsby,30,Cycling,Music,30 min Dance Music Ride,2021-10-25 13:25 (-04),215,119,42%,77,17.08,8.54,426,149.84,,
2021-10-31 13:35 (-04),Live,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2021-10-30 13:22 (-04),278,107,41%,75,16.19,11.79,573,144.32,,
2021-11-01 17:12 (-04),On Demand,Alex Toussaint,30,Cycling,Music,30 min Hip Hop Ride,2021-10-25 18:24 (-04),209,116,41%,81,17.01,8.51,424,149.43,,
2021-11-02 13:00 (-04),On Demand,Camila Ramon,30,Cycling,Intervals,30 min HIIT Ride,2021-11-01 05:54 (-04),211,117,41%,79,16.66,8.33,455,156.10,,
2021-11-03 13:22 (-04),On Demand,Alex Toussaint,30,Cycling,Music,30 min 2000s Ride,2021-11-03 07:24 (-04),209,116,41%,81,17.08,8.54,457,156.52,,
2021-11-04 12:36 (-04),On Demand,Camila Ramon,30,Cycling,Music,30 min Spotify Baila Reggaeton Ride,2021-11-03 19:51 (-04),206,114,40%,83,16.93,8.47,452,155.44,,
2021-11-05 13:48 (-04),On Demand,Jess King,30,Cycling,Theme,30 min The Jess King Experience,2021-11-04 19:50 (-04),206,114,43%,74,16.81,8.41,416,147.81,,
2021-11-07 13:05 (-05),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-11-06 12:24 (-05),209,116,42%,78,16.93,8.47,420,148.58,,
2021-11-09 12:17 (-05),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-10-23 12:24 (-05),196,109,39%,82,16.59,8.30,452,155.46,,
2021-11-10 13:23 (-05),On Demand,Jess King,30,Cycling,Music,30 min EDM Ride,2021-11-10 07:25 (-05),214,119,43%,76,17.20,8.60,454,155.98,,
2021-11-12 12:30 (-05),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-09-04 12:22 (-05),215,119,42%,79,17.21,8.61,447,154.42,,
2021-11-14 12:16 (-05),On Demand,Jess King,30,Cycling,Music,30 min EDM Ride,2021-09-06 16:00 (-05),203,113,42%,76,16.77,8.39,395,143.24,,
2021-11-17 07:57 (-05),On Demand,Camila Ramon,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-11-15 05:52 (-05),226,125,44%,77,17.51,8.76,463,157.90,,
2021-11-18 07:15 (-05),Live,Alex Toussaint,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-11-17 07:22 (-05),234,131,42%,82,17.54,8.72,477,161.43,,
2021-11-19 07:51 (-05),On Demand,Robin Arzon,30,Cycling,Live DJ,30 min Live DJ Ride,2021-11-12 16:52 (-05),225,125,42%,78,17.18,8.59,449,154.85,,
2021-11-21 11:05 (-05),Live,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-11-20 13:23 (-05),240,134,43%,80,17.85,8.93,444,153.82,,
2021-11-22 07:40 (-05),On Demand,Jess King,30,Cycling,Theme,30 min The Jess King Experience,2021-11-18 19:51 (-05),193,107,40%,79,16.30,8.15,372,138.43,,
2021-11-23 08:19 (-05),On Demand,Olivia Amato,30,Cycling,Music,30 min EDM Ride,2021-11-22 07:23 (-05),236,131,43%,80,17.73,8.86,473,160.08,,
2021-11-24 07:26 (-05),On Demand,Mayla Wedekind,30,Cycling,Music,30 min House Ride,2021-11-23 01:25 (-05),194,108,41%,78,16.43,8.21,375,138.23,,
2021-11-25 05:22 (-05),On Demand,Olivia Amato,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-11-08 07:23 (-05),190,106,40%,77,16.19,8.10,414,147.43,,
2021-11-26 08:38 (-05),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2021-11-13 13:21 (-05),290,107,41%,77,16.50,12.37,620,146.66,,
2021-11-27 07:53 (-05),On Demand,Robin Arzon,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-11-24 11:52 (-05),192,107,39%,83,16.29,8.14,419,148.35,,
2021-11-29 07:35 (-05),Live,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-11-27 13:24 (-05),247,139,45%,78,17.97,8.89,466,159.68,,
